               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.076819,            0.014992,            0.019184,              0.4351,             0.52262,             0.58091,             0.37586,            0.062904,           0.0080098,            0.010296,            0.009307,            0.009307,            0.009307
                  37,            0.077532,            0.014232,            0.016545,             0.33312,             0.49908,             0.52941,             0.29507,            0.062137,           0.0078348,           0.0097891,           0.0092872,           0.0092872,           0.0092872
                  38,            0.071109,            0.015265,            0.016729,             0.36674,             0.64167,             0.62913,             0.24227,            0.054625,           0.0085424,           0.0095039,           0.0092674,           0.0092674,           0.0092674
                  39,            0.067524,            0.015343,            0.017494,              0.7455,               0.475,             0.58884,              0.2236,             0.07082,           0.0076239,           0.0091758,           0.0092476,           0.0092476,           0.0092476
                  40,            0.074344,            0.013743,            0.015872,              0.7455,               0.475,             0.58884,              0.2236,             0.07082,           0.0076239,           0.0091758,           0.0092278,           0.0092278,           0.0092278
                  41,            0.074703,            0.013693,            0.015316,             0.97576,             0.49089,             0.59074,             0.31665,            0.069093,           0.0082183,           0.0087138,            0.009208,            0.009208,            0.009208
                  42,            0.072806,            0.015637,            0.015832,              0.3634,             0.83834,             0.69706,             0.37149,            0.055041,           0.0084235,           0.0083062,           0.0091882,           0.0091882,           0.0091882
                  43,            0.072346,            0.012331,            0.014643,             0.76194,             0.30269,             0.29176,            0.085966,            0.062055,           0.0093974,           0.0083234,           0.0091684,           0.0091684,           0.0091684
                  44,             0.06881,            0.014944,            0.013428,             0.76194,             0.30269,             0.29176,            0.085966,            0.062055,           0.0093974,           0.0083234,           0.0091486,           0.0091486,           0.0091486
                  45,             0.06152,            0.014802,            0.013413,             0.49432,             0.78571,             0.77239,             0.19048,            0.051129,           0.0086943,           0.0085406,           0.0091288,           0.0091288,           0.0091288
                  46,            0.061035,            0.013488,            0.012843,             0.81666,               0.475,             0.52318,              0.2156,            0.059576,            0.007848,           0.0084797,            0.009109,            0.009109,            0.009109
                  47,            0.066801,            0.014443,            0.015054,             0.72236,             0.92738,             0.86721,              0.2562,            0.053928,             0.00858,           0.0080854,           0.0090892,           0.0090892,           0.0090892
                  48,            0.064265,            0.014691,            0.014389,             0.72236,             0.92738,             0.86721,              0.2562,            0.053928,             0.00858,           0.0080854,           0.0090694,           0.0090694,           0.0090694
                  49,            0.055176,            0.014185,            0.014656,             0.66283,             0.92738,             0.91898,             0.39184,             0.04479,           0.0084378,           0.0080241,           0.0090496,           0.0090496,           0.0090496
                  50,            0.056383,            0.012974,            0.013257,             0.40958,             0.85595,             0.79913,             0.28341,            0.051877,           0.0090773,           0.0077767,           0.0090298,           0.0090298,           0.0090298
                  51,            0.061441,             0.01417,            0.014097,             0.66251,             0.90357,             0.87465,             0.30602,            0.043491,           0.0092841,           0.0075753,             0.00901,             0.00901,             0.00901
                  52,            0.057774,            0.013408,              0.0127,             0.66251,             0.90357,             0.87465,             0.30602,            0.043491,           0.0092841,           0.0075753,           0.0089902,           0.0089902,           0.0089902
                  53,            0.052355,            0.013232,            0.010317,             0.67176,             0.90357,             0.84491,             0.37758,            0.038752,           0.0095152,           0.0075358,           0.0089704,           0.0089704,           0.0089704
                  54,            0.057994,            0.014176,            0.016253,             0.61317,               0.836,             0.80775,             0.33955,            0.056253,           0.0096747,           0.0067147,           0.0089506,           0.0089506,           0.0089506
                  55,            0.066098,            0.011878,            0.009732,             0.56876,             0.85138,             0.80122,              0.3048,            0.050375,           0.0099577,           0.0067083,           0.0089308,           0.0089308,           0.0089308
                  56,            0.062432,            0.013025,            0.012682,             0.56876,             0.85138,             0.80122,              0.3048,            0.050375,           0.0099577,           0.0067083,            0.008911,            0.008911,            0.008911
                  57,            0.053304,             0.01468,             0.01107,             0.66933,             0.90245,             0.87516,             0.37807,             0.03594,           0.0090652,            0.006513,           0.0088912,           0.0088912,           0.0088912
                  58,            0.053332,            0.014796,            0.012284,             0.66052,             0.85331,              0.7995,             0.40064,             0.05263,            0.009169,           0.0062162,           0.0088714,           0.0088714,           0.0088714
                  59,            0.057463,            0.012327,           0.0094813,             0.49089,             0.77738,             0.59854,             0.28821,            0.046249,           0.0084996,           0.0065977,           0.0088516,           0.0088516,           0.0088516
                  60,            0.054775,            0.012869,            0.010195,             0.49089,             0.77738,             0.59854,             0.28821,            0.046249,           0.0084996,           0.0065977,           0.0088318,           0.0088318,           0.0088318
                  61,            0.052655,              0.0124,           0.0078955,             0.69223,             0.88177,             0.92073,             0.45928,            0.039828,           0.0080571,            0.006625,            0.008812,            0.008812,            0.008812
                  62,            0.053287,            0.012236,           0.0096102,             0.55425,             0.91147,             0.66891,             0.38925,            0.048103,           0.0077831,           0.0060603,           0.0087922,           0.0087922,           0.0087922
                  63,            0.057815,            0.012612,           0.0095946,             0.52557,             0.80714,             0.67946,             0.36053,             0.04769,           0.0077177,           0.0057069,           0.0087724,           0.0087724,           0.0087724
                  64,            0.060735,            0.011061,           0.0096214,             0.52557,             0.80714,             0.67946,             0.36053,             0.04769,           0.0077177,           0.0057069,           0.0087526,           0.0087526,           0.0087526
                  65,            0.059841,            0.012272,           0.0096381,               0.506,             0.75495,              0.6955,             0.28922,            0.042402,           0.0071371,           0.0053098,           0.0087328,           0.0087328,           0.0087328
                  66,              0.0572,            0.010808,            0.008829,             0.63236,             0.78452,             0.77396,             0.30337,             0.04517,           0.0067805,           0.0054251,            0.008713,            0.008713,            0.008713
                  67,            0.059569,            0.014208,            0.008689,             0.72138,             0.92738,             0.79727,             0.34183,             0.04244,           0.0068085,           0.0053975,           0.0086932,           0.0086932,           0.0086932
                  68,            0.055038,             0.01542,            0.009253,             0.72138,             0.92738,             0.79727,             0.34183,             0.04244,           0.0068085,           0.0053975,           0.0086734,           0.0086734,           0.0086734
                  69,            0.049333,            0.013121,             0.01261,             0.80954,             0.73668,             0.80802,             0.36192,            0.036522,           0.0069617,           0.0062991,           0.0086536,           0.0086536,           0.0086536
                  70,            0.050104,             0.01281,           0.0085634,             0.66267,             0.85595,             0.84775,             0.27273,            0.046713,           0.0064383,           0.0043975,           0.0086338,           0.0086338,           0.0086338
                  71,            0.057626,            0.011658,            0.007806,             0.80801,             0.80833,             0.84825,             0.42665,            0.038038,           0.0065417,           0.0044332,            0.008614,            0.008614,            0.008614
                  72,            0.052867,            0.013902,           0.0087718,             0.80801,             0.80833,             0.84825,             0.42665,            0.038038,           0.0065417,           0.0044332,           0.0085942,           0.0085942,           0.0085942
                  73,            0.046923,            0.012383,           0.0078898,             0.78225,             0.83172,             0.89336,             0.38429,            0.039505,           0.0063377,           0.0043981,           0.0085744,           0.0085744,           0.0085744
                  74,            0.047762,            0.013192,           0.0083655,             0.52444,             0.85548,             0.68882,             0.27898,            0.034975,           0.0065758,           0.0042373,           0.0085546,           0.0085546,           0.0085546
                  75,            0.049075,            0.012956,           0.0083435,             0.67411,             0.83333,             0.86928,             0.39686,            0.043915,           0.0063022,           0.0042416,           0.0085348,           0.0085348,           0.0085348
                  76,            0.057584,             0.01265,           0.0081738,             0.67411,             0.83333,             0.86928,             0.39686,            0.043915,           0.0063022,           0.0042416,            0.008515,            0.008515,            0.008515
                  77,            0.053119,            0.011952,           0.0082372,             0.69733,             0.87719,             0.84075,             0.47997,            0.033046,           0.0062458,           0.0041069,           0.0084952,           0.0084952,           0.0084952
                  78,            0.054982,            0.013027,           0.0079046,             0.39399,             0.78991,             0.73545,             0.27544,            0.049704,           0.0064947,           0.0052095,           0.0084754,           0.0084754,           0.0084754
                  79,            0.061868,            0.014165,             0.00743,             0.78124,             0.85595,             0.92981,             0.41437,            0.033642,           0.0060163,            0.005004,           0.0084556,           0.0084556,           0.0084556
                  80,            0.042408,            0.012717,           0.0063409,             0.78124,             0.85595,             0.92981,             0.41437,            0.033642,           0.0060163,            0.005004,           0.0084358,           0.0084358,           0.0084358
                  81,            0.040858,            0.012361,           0.0083742,             0.92406,             0.87779,             0.93413,             0.58504,            0.029518,           0.0059088,            0.005538,            0.008416,            0.008416,            0.008416
                  82,            0.047052,            0.011828,            0.008102,             0.79711,             0.79979,             0.89842,             0.41268,             0.04142,           0.0059815,           0.0065802,           0.0083962,           0.0083962,           0.0083962
                  83,            0.053736,             0.01103,           0.0083437,             0.65874,             0.78781,             0.86764,             0.32028,            0.042704,           0.0060509,           0.0050916,           0.0083764,           0.0083764,           0.0083764
                  84,             0.05366,            0.010003,           0.0057435,             0.65874,             0.78781,             0.86764,             0.32028,            0.042704,           0.0060509,           0.0050916,           0.0083566,           0.0083566,           0.0083566
                  85,            0.050659,            0.012983,           0.0067213,             0.72645,             0.83162,             0.91523,             0.39993,            0.038123,           0.0060042,           0.0049219,           0.0083368,           0.0083368,           0.0083368
                  86,            0.049106,            0.014367,           0.0095675,             0.74906,             0.85132,             0.95022,             0.54579,            0.033385,           0.0059535,            0.005128,            0.008317,            0.008317,            0.008317
                  87,            0.048563,            0.011859,            0.005966,             0.43652,               0.975,             0.70896,             0.29112,            0.040837,           0.0056595,            0.004993,           0.0082972,           0.0082972,           0.0082972
                  88,             0.05097,            0.010978,           0.0077446,             0.43652,               0.975,             0.70896,             0.29112,            0.040837,           0.0056595,            0.004993,           0.0082774,           0.0082774,           0.0082774
                  89,            0.054853,            0.013245,           0.0082443,             0.52741,             0.90357,             0.81932,             0.36582,            0.042634,           0.0056691,           0.0046714,           0.0082576,           0.0082576,           0.0082576
                  90,            0.051112,            0.011883,            0.010421,             0.64872,             0.82609,             0.82233,             0.39929,            0.042197,           0.0055187,           0.0045312,           0.0082378,           0.0082378,           0.0082378
                  91,            0.054202,            0.012361,           0.0073776,             0.54037,             0.90357,             0.86597,             0.38288,            0.031446,           0.0056372,           0.0052208,            0.008218,            0.008218,            0.008218
                  92,            0.045974,            0.011158,           0.0069362,             0.54037,             0.90357,             0.86597,             0.38288,            0.031446,           0.0056372,           0.0052208,           0.0081982,           0.0081982,           0.0081982
                  93,             0.03993,            0.012966,           0.0096666,             0.75366,             0.92619,             0.93066,             0.50424,            0.028965,           0.0055962,           0.0054026,           0.0081784,           0.0081784,           0.0081784
                  94,            0.041478,            0.011913,            0.006171,             0.96494,             0.95119,             0.96324,             0.54831,            0.034256,           0.0056138,            0.005212,           0.0081586,           0.0081586,           0.0081586
                  95,            0.049412,             0.01102,           0.0069689,             0.71942,             0.87738,              0.8945,             0.43019,            0.040824,            0.005714,           0.0056883,           0.0081388,           0.0081388,           0.0081388
                  96,            0.051456,            0.012176,           0.0084507,             0.71942,             0.87738,              0.8945,             0.43019,            0.040824,            0.005714,           0.0056883,            0.008119,            0.008119,            0.008119
                  97,            0.050915,            0.011808,           0.0069628,             0.92865,             0.90119,             0.92508,             0.50355,             0.03514,           0.0057241,           0.0064973,           0.0080992,           0.0080992,           0.0080992
                  98,            0.049861,            0.010855,           0.0074605,             0.77613,             0.95119,             0.95317,             0.50689,            0.037596,           0.0056217,           0.0045398,           0.0080794,           0.0080794,           0.0080794
                  99,            0.052093,            0.012522,           0.0067819,             0.87623,             0.87533,             0.93479,             0.52032,            0.033089,           0.0055413,           0.0040715,           0.0080596,           0.0080596,           0.0080596
                 100,            0.046894,            0.011721,           0.0075741,             0.87623,             0.87533,             0.93479,             0.52032,            0.033089,           0.0055413,           0.0040715,           0.0080398,           0.0080398,           0.0080398
                 101,            0.043131,           0.0094868,           0.0067768,             0.91177,             0.93806,             0.92281,             0.52559,            0.030562,           0.0054739,           0.0037635,             0.00802,             0.00802,             0.00802
                 102,            0.044615,            0.011056,           0.0076296,             0.78008,             0.95238,             0.96501,             0.49272,            0.029849,           0.0055243,           0.0036349,           0.0080002,           0.0080002,           0.0080002
                 103,            0.045613,            0.011823,           0.0054952,             0.79392,              0.9454,             0.94188,             0.50446,             0.03703,           0.0053197,           0.0036597,           0.0079804,           0.0079804,           0.0079804
                 104,            0.053055,            0.011152,           0.0055541,             0.79392,              0.9454,             0.94188,             0.50446,             0.03703,           0.0053197,           0.0036597,           0.0079606,           0.0079606,           0.0079606
                 105,            0.046664,            0.011277,           0.0060743,              0.9479,             0.96588,              0.9628,             0.60226,            0.030976,           0.0052532,           0.0036715,           0.0079408,           0.0079408,           0.0079408
                 106,            0.045651,            0.011461,           0.0092055,             0.79685,             0.91718,             0.94351,             0.62261,            0.030214,           0.0052154,           0.0035992,            0.007921,            0.007921,            0.007921
