               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031298,            0.013053,            0.048983,              0.3605,             0.71081,             0.32707,              0.2272,            0.016681,           0.0038485,            0.034497,            0.006535,            0.006535,            0.006535
                  37,            0.035536,            0.013906,            0.052951,             0.26656,             0.69939,             0.34484,             0.24513,            0.021786,           0.0038265,            0.034117,            0.006436,            0.006436,            0.006436
                  38,            0.031828,            0.013623,            0.049805,             0.29158,             0.73576,             0.35179,             0.24117,            0.021215,            0.003799,            0.033719,            0.006337,            0.006337,            0.006337
                  39,            0.034164,            0.013814,            0.054727,             0.18634,             0.80326,             0.31023,             0.22311,            0.017408,           0.0036972,            0.033357,            0.006238,            0.006238,            0.006238
                  40,            0.032103,               0.014,             0.05112,             0.19638,             0.79413,             0.34426,             0.24227,            0.019864,           0.0038689,            0.033167,            0.006139,            0.006139,            0.006139
                  41,            0.033499,            0.012046,             0.04867,             0.24531,             0.75164,             0.35499,             0.27053,            0.014873,           0.0036485,            0.033016,             0.00604,             0.00604,             0.00604
                  42,             0.03202,            0.012356,            0.053972,             0.24424,             0.75412,             0.38556,             0.29569,            0.014282,            0.003534,            0.032649,            0.005941,            0.005941,            0.005941
                  43,            0.031613,            0.014036,            0.051511,              0.2326,             0.70117,             0.37548,             0.25747,            0.019072,           0.0037236,            0.032645,            0.005842,            0.005842,            0.005842
                  44,            0.032791,            0.013428,            0.050464,             0.23915,             0.71829,             0.38273,             0.25956,            0.015818,           0.0035248,            0.032546,            0.005743,            0.005743,            0.005743
                  45,            0.032504,            0.013576,             0.05074,             0.23431,             0.75759,             0.38495,             0.27703,              0.0177,           0.0034766,            0.032483,            0.005644,            0.005644,            0.005644
                  46,            0.028672,            0.012853,            0.048959,             0.23002,             0.73602,             0.39006,             0.27836,            0.017407,           0.0035492,            0.032548,            0.005545,            0.005545,            0.005545
                  47,            0.030663,            0.012931,            0.052573,             0.25277,             0.71771,              0.3979,             0.29197,            0.019542,           0.0035018,            0.031844,            0.005446,            0.005446,            0.005446
                  48,            0.029651,            0.012899,            0.049677,             0.41062,             0.70574,             0.41255,             0.30542,            0.016256,           0.0033911,            0.031328,            0.005347,            0.005347,            0.005347
                  49,            0.031068,            0.011569,             0.05033,             0.26862,             0.70904,             0.40012,             0.31194,            0.012916,           0.0034075,            0.031305,            0.005248,            0.005248,            0.005248
                  50,            0.029526,            0.012323,            0.047835,             0.25424,             0.76838,             0.37691,             0.28041,            0.017848,            0.003505,            0.031692,            0.005149,            0.005149,            0.005149
                  51,            0.028923,            0.012747,            0.050132,             0.28701,             0.78031,             0.39961,             0.29881,            0.014953,           0.0033681,            0.031319,             0.00505,             0.00505,             0.00505
                  52,            0.027336,            0.011883,            0.048537,             0.30117,             0.78125,             0.42025,             0.32084,            0.016139,           0.0032964,            0.031042,            0.004951,            0.004951,            0.004951
